trial_number,base_action_scale,wrist_scale_factor,wrist_action_scale,best_reward,success_rate,pos_violation_rate,vel_violation_rate,torque_violation_rate,state,duration_seconds,experiment_name,timestamp
0,0.3247271478670085,0.6437410875165345,0.20904020731405057,0.32723259925842285,0.1,0.0,0.0,0.0,COMPLETE,438.553953,optuna_tpe_K16_D24_base0.325_wrist0.209,2026-01-20T04:33:12.258038
1,0.6251936104644114,0.860502954933339,0.5379809492100688,0.6824194192886353,0.71,0.02,0.0,0.01,COMPLETE,735.88188,optuna_tpe_K16_D24_base0.625_wrist0.538,2026-01-20T04:45:28.152503
2,0.5909700851182605,0.3040037833081586,0.1796571416978957,0.28613120317459106,0.04,0.04,0.0,0.01,COMPLETE,443.993481,optuna_tpe_K16_D24_base0.591_wrist0.180,2026-01-20T04:52:52.159925
3,0.926395909984859,0.6121012329889516,0.567048078737654,1.5614008903503418,1.0,0.0,0.0,0.0,COMPLETE,366.208024,optuna_tpe_K16_D24_base0.926_wrist0.567,2026-01-20T04:58:58.379035
4,0.8038860345430607,0.8950288113127552,0.7195011619280002,1.7365050315856934,1.0,0.0,0.0,0.54,COMPLETE,390.979855,optuna_tpe_K16_D24_base0.804_wrist0.720,2026-01-20T05:05:29.368796
5,0.6173946796910499,0.956199629965269,0.5903525642631077,1.4186029434204102,1.0,0.0,0.0,0.0,COMPLETE,417.736767,optuna_tpe_K16_D24_base0.617_wrist0.590,2026-01-20T05:12:27.114116
6,0.42303081575168844,0.13590040227517852,0.05749005803545139,0.06897642463445663,0.0,0.21,0.0,0.0,COMPLETE,355.128565,optuna_tpe_K16_D24_base0.423_wrist0.057,2026-01-20T05:18:22.251804
7,0.3262081627165315,0.6047838932328202,0.19728544265202924,0.34018611907958984,0.28,0.01,0.0,0.0,COMPLETE,444.212289,optuna_tpe_K16_D24_base0.326_wrist0.197,2026-01-20T05:25:46.472640
8,0.49968053640710874,0.2659320458017904,0.13288106729407845,0.13378867506980896,0.0,0.28,0.0,0.01,COMPLETE,490.502351,optuna_tpe_K16_D24_base0.500_wrist0.133,2026-01-20T05:33:56.986070
9,0.039299515150322706,0.8743138375747476,0.03436010990590558,0.012183710001409054,0.0,0.0,0.0,0.0,COMPLETE,268.274767,optuna_tpe_K16_D24_base0.039_wrist0.034,2026-01-20T05:38:25.268800
10,0.9670626129126026,0.44600198244704986,0.43131184250944476,1.3776754140853882,1.0,0.0,0.0,0.0,COMPLETE,458.82414,optuna_tpe_K16_D24_base0.967_wrist0.431,2026-01-20T05:46:04.100094
11,0.9842471280688375,0.7165767532419225,0.7052886114192543,1.5456124544143677,1.0,0.0,0.0,0.0,COMPLETE,541.213877,optuna_tpe_K16_D24_base0.984_wrist0.705,2026-01-20T05:55:05.323341
