trial_number,base_action_scale,wrist_scale_factor,wrist_action_scale,best_reward,success_rate,lift_goal_fine_rate,pos_violation_rate,vel_violation_rate,torque_violation_rate,torque_rate_violation_rate,strict_success,state,duration_seconds,experiment_name,timestamp
0,1.4142417121223008,0.3921508117056409,0.5545960353567356,218.5136260986328,0.5705898529061976,0.62,1.0,1.0,0.74,1.0,False,COMPLETE,613.029034,optuna_tpe_K16_D2_base1.414_wrist0.555,2026-01-23T15:51:14.178872
1,1.0059826048576554,0.5445368092687098,0.547794557829013,102.88541412353516,0.19016866390199266,0.02,1.0,1.0,1.0,1.0,False,COMPLETE,1137.206931,optuna_tpe_K16_D2_base1.006_wrist0.548,2026-01-23T16:10:11.416573
2,0.5510765199374541,0.8156542306595078,0.44948789490410307,126.7020492553711,0.2530729463767689,0.04,1.0,1.0,0.17,0.55,False,COMPLETE,807.351867,optuna_tpe_K16_D2_base0.551_wrist0.449,2026-01-23T16:23:38.790276
3,0.964318158254144,0.488507077369535,0.47107624514310464,96.93541717529297,0.2586094594751934,0.06,1.0,1.0,0.44,0.99,False,COMPLETE,1209.323099,optuna_tpe_K16_D2_base0.964_wrist0.471,2026-01-23T16:43:48.135388
4,1.870257902462697,0.3181980578461251,0.5951124322349979,213.06661987304688,0.7891215056225052,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,1342.313568,optuna_tpe_K16_D2_base1.870_wrist0.595,2026-01-23T17:06:10.474927
5,3.4877843577708605,0.8129378577051701,2.835351943943846,229.03897094726562,0.6790727771948474,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,514.6816,optuna_tpe_K16_D2_base3.488_wrist2.835,2026-01-23T17:14:45.185267
6,2.7025225054330253,0.9548635367097366,2.580540197575437,138.03648376464844,0.33716789380394774,0.14,1.0,1.0,1.0,1.0,False,COMPLETE,1260.843848,optuna_tpe_K16_D2_base2.703_wrist2.581,2026-01-23T17:35:46.049543
7,0.205253794816457,0.35409525072592474,0.07267939393798085,93.76538848876953,0.004012856151602608,0.0,0.0,0.0,0.0,0.01,False,COMPLETE,792.239422,optuna_tpe_K16_D2_base0.205_wrist0.073,2026-01-23T17:48:58.309938
8,3.1792338930741524,0.4775147782434307,1.5181311674353026,210.17152404785156,0.6561457116723214,0.73,1.0,1.0,1.0,1.0,False,COMPLETE,659.592607,optuna_tpe_K16_D2_base3.179_wrist1.518,2026-01-23T17:59:57.923719
9,0.7548071851042857,0.48647211807579205,0.3671926500765083,3.465202808380127,0.0,0.0,1.0,1.0,0.28,0.99,False,COMPLETE,294.507062,optuna_tpe_K16_D2_base0.755_wrist0.367,2026-01-23T18:04:52.452115
10,2.009991664753168,0.02633902509474151,0.05294122089815495,192.81820678710938,0.5688813547102495,0.62,1.0,1.0,0.07,1.0,False,COMPLETE,711.105373,optuna_tpe_K16_D2_base2.010_wrist0.053,2026-01-23T18:16:43.576793
11,3.8920120063316315,0.21368239829843688,0.8316544597192541,63.27297592163086,0.024517013256711212,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,1018.925181,optuna_tpe_K16_D2_base3.892_wrist0.832,2026-01-23T18:33:42.523817
12,2.1140411529617102,0.663041260379334,1.4016965105535126,177.81668090820312,0.5192791222463701,0.46,1.0,1.0,1.0,1.0,False,COMPLETE,606.792157,optuna_tpe_K16_D2_base2.114_wrist1.402,2026-01-23T18:43:49.339509
13,2.6956765170143853,0.7271256782793983,1.960095615855931,88.6259994506836,0.08081827384013905,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,592.957277,optuna_tpe_K16_D2_base2.696_wrist1.960,2026-01-23T18:53:42.317928
14,3.6900534979549935,0.1794728589899386,0.6622644511038062,236.57232666015625,0.6450089258478069,0.82,1.0,1.0,1.0,1.0,False,COMPLETE,684.944436,optuna_tpe_K16_D2_base3.690_wrist0.662,2026-01-23T19:05:07.283675
15,1.498674082534372,0.981377648362927,1.4707652467800492,6.361911296844482,0.0,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,407.048498,optuna_tpe_K16_D2_base1.499_wrist1.471,2026-01-23T19:11:54.353505
16,2.5239005903845797,0.24581528993369756,0.6204133553892159,178.68746948242188,0.7096489453809706,0.84,1.0,1.0,1.0,1.0,False,COMPLETE,1162.638827,optuna_tpe_K16_D2_base2.524_wrist0.620,2026-01-23T19:31:17.012073
17,2.7307885490676185,0.2404616910065339,0.6566500322900787,125.79582977294922,0.38366320069848897,0.32,1.0,1.0,1.0,1.0,False,COMPLETE,669.670765,optuna_tpe_K16_D2_base2.731_wrist0.657,2026-01-23T19:42:26.704028
18,1.5102350737133625,0.021691690676806652,0.03275955206825455,218.81588745117188,0.777612241578304,0.95,0.94,1.0,0.0,1.0,False,COMPLETE,1339.141905,optuna_tpe_K16_D2_base1.510_wrist0.033,2026-01-23T20:04:45.867534
19,1.3751377434110852,0.03080320307967504,0.042358647172817725,218.15614318847656,0.7160165675159794,0.9,0.6,1.0,0.26,1.0,False,COMPLETE,735.730564,optuna_tpe_K16_D2_base1.375_wrist0.042,2026-01-23T20:17:01.619285
20,1.5765031810345045,0.11270796190693967,0.17768446047420614,6.642881870269775,0.00046928204670570794,0.0,1.0,1.0,0.66,1.0,False,COMPLETE,962.287201,optuna_tpe_K16_D2_base1.577_wrist0.178,2026-01-23T20:33:03.929509
21,1.6244136585591824,0.018426343066055412,0.029932003353797695,200.18966674804688,0.3817882675903392,0.14,0.52,1.0,0.04,1.0,False,COMPLETE,921.015965,optuna_tpe_K16_D2_base1.624_wrist0.030,2026-01-23T20:48:24.967027
22,1.2172158882234987,0.11863294197077036,0.14440190183351803,162.30418395996094,0.05695813457079301,0.0,1.0,1.0,0.46,1.0,False,COMPLETE,744.50703,optuna_tpe_K16_D2_base1.217_wrist0.144,2026-01-23T21:00:49.496551
23,2.2474402848425115,0.3079020217961238,0.6919914075690656,230.5679168701172,0.7143770889564935,0.98,1.0,1.0,1.0,1.0,False,COMPLETE,801.273756,optuna_tpe_K16_D2_base2.247_wrist0.692,2026-01-23T21:14:10.792168
24,1.7471712073479677,0.09687228490628152,0.1692524669782642,94.45643615722656,0.1662532699296843,0.02,1.0,1.0,0.76,1.0,False,COMPLETE,989.089422,optuna_tpe_K16_D2_base1.747_wrist0.169,2026-01-23T21:30:39.902817
25,1.9191883513817989,0.003270064409138962,0.006275869522287701,133.9286651611328,0.28213451324254124,0.08,1.0,1.0,0.06,1.0,False,COMPLETE,793.392067,optuna_tpe_K16_D2_base1.919_wrist0.006,2026-01-23T21:43:53.316049
26,1.1660823615973328,0.113280158923909,0.13209399524011298,2.819901466369629,0.0,0.0,1.0,1.0,0.0,1.0,False,COMPLETE,293.225972,optuna_tpe_K16_D2_base1.166_wrist0.132,2026-01-23T21:48:46.563784
27,0.5124506139093526,0.29974509494639545,0.15360455792159755,127.56809997558594,0.10044917424426592,0.0,0.25,0.9,0.27,0.66,False,COMPLETE,647.372056,optuna_tpe_K16_D2_base0.512_wrist0.154,2026-01-23T21:59:33.955859
28,1.3079497630988983,0.41617848505024985,0.5443405509283327,3.535153388977051,0.0,0.0,1.0,1.0,0.9,1.0,False,COMPLETE,370.223218,optuna_tpe_K16_D2_base1.308_wrist0.544,2026-01-23T22:05:44.202541
29,2.432523317244632,0.5771864464737788,1.4040194894450377,231.28402709960938,0.7530757746681909,0.95,1.0,1.0,1.0,1.0,False,COMPLETE,855.110974,optuna_tpe_K16_D2_base2.433_wrist1.404,2026-01-23T22:19:59.333200
30,2.5388564576738006,0.5952868436853644,1.5113478472588417,219.0546112060547,0.7708450106403846,0.94,1.0,1.0,1.0,1.0,False,COMPLETE,539.526674,optuna_tpe_K16_D2_base2.539_wrist1.511,2026-01-23T22:28:58.881673
31,3.1102373828836543,0.5993316711718868,1.864063768424936,240.38235473632812,0.798236929025446,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,768.101652,optuna_tpe_K16_D2_base3.110_wrist1.864,2026-01-23T22:41:47.010021
32,3.0200549866506456,0.6110141315940135,1.8452962750345143,211.59385681152344,0.8198442935429837,0.97,1.0,1.0,1.0,1.0,False,COMPLETE,1281.001406,optuna_tpe_K16_D2_base3.020_wrist1.845,2026-01-23T23:03:08.045018
33,3.258469990847697,0.6360785785835563,2.072642960135577,133.57589721679688,0.08998715927150715,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,781.384829,optuna_tpe_K16_D2_base3.258_wrist2.073,2026-01-23T23:16:09.459038
34,3.045245807152946,0.714862553247231,2.1769321929667798,226.51426696777344,0.6163188919173086,0.82,1.0,1.0,1.0,1.0,False,COMPLETE,572.237267,optuna_tpe_K16_D2_base3.045_wrist2.177,2026-01-23T23:25:41.719579
35,2.9435206916877936,0.4286702336004591,1.2617997025135914,2.130345582962036,0.0,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,292.030575,optuna_tpe_K16_D2_base2.944_wrist1.262,2026-01-23T23:30:33.771482
36,3.458971785971615,0.5370621446296561,1.8576828055873873,136.24380493164062,0.21601682084649823,0.04,1.0,1.0,1.0,1.0,False,COMPLETE,993.289548,optuna_tpe_K16_D2_base3.459_wrist1.858,2026-01-23T23:47:07.080385
37,0.9487362197812428,0.8331613970354368,0.7904503942910595,229.0931396484375,0.6668786866904597,0.94,1.0,1.0,1.0,1.0,False,COMPLETE,740.740354,optuna_tpe_K16_D2_base0.949_wrist0.790,2026-01-23T23:59:27.842047
38,1.821462236286635,0.7807613950072052,1.4221273965560968,163.4954071044922,0.323109364508946,0.06,1.0,1.0,1.0,1.0,False,COMPLETE,1356.091498,optuna_tpe_K16_D2_base1.821_wrist1.422,2026-01-24T00:22:03.955238
39,2.1853276120116107,0.355774084140086,0.777482929709472,212.7223358154297,0.698997755920603,0.83,1.0,1.0,1.0,1.0,False,COMPLETE,1069.925141,optuna_tpe_K16_D2_base2.185_wrist0.777,2026-01-24T00:39:53.902451
40,3.401091354911815,0.5268675139357487,1.7919245468307552,235.75318908691406,0.7610287711306727,0.98,1.0,1.0,1.0,1.0,False,COMPLETE,619.683552,optuna_tpe_K16_D2_base3.401_wrist1.792,2026-01-24T00:50:13.610965
41,2.916466492720078,0.6037192546796915,1.7607269772832592,195.47604370117188,0.6062057160064092,0.67,1.0,1.0,1.0,1.0,False,COMPLETE,1024.973792,optuna_tpe_K16_D2_base2.916_wrist1.761,2026-01-24T01:07:18.608667
42,2.648851890802705,0.6909189948933009,1.8301420860146245,189.54867553710938,0.48390922217197274,0.38,1.0,1.0,1.0,1.0,False,COMPLETE,1266.141915,optuna_tpe_K16_D2_base2.649_wrist1.830,2026-01-24T01:28:24.774926
43,2.3979861369872757,0.5897005262061548,1.4140936868164609,74.9137191772461,0.05064153866979144,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,749.020567,optuna_tpe_K16_D2_base2.398_wrist1.414,2026-01-24T01:40:53.837728
44,3.149710717045974,0.8906357431198507,2.805244945088799,231.389892578125,0.8340896595687319,1.0,1.0,1.0,1.0,1.0,False,COMPLETE,582.464129,optuna_tpe_K16_D2_base3.150_wrist2.805,2026-01-24T01:50:36.343709
45,3.873418288171636,0.8471440201220178,3.2813431402558644,227.357177734375,0.7780851374882737,0.99,1.0,1.0,1.0,1.0,False,COMPLETE,1329.44081,optuna_tpe_K16_D2_base3.873_wrist3.281,2026-01-24T02:12:45.816711
46,3.797575677650473,0.9001392991186085,3.4183471088301713,89.38439178466797,0.20967492824451134,0.05,1.0,1.0,1.0,1.0,False,COMPLETE,1329.221513,optuna_tpe_K16_D2_base3.798_wrist3.418,2026-01-24T02:34:55.059962
47,3.2156880641440617,0.9101256292872184,2.9266801229705113,237.76702880859375,0.7332331556459443,0.94,1.0,1.0,1.0,1.0,False,COMPLETE,596.63614,optuna_tpe_K16_D2_base3.216_wrist2.927,2026-01-24T02:44:51.744707
48,3.9834198936767815,0.869623303031292,3.4640747652997605,2.315523147583008,0.0,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,377.396223,optuna_tpe_K16_D2_base3.983_wrist3.464,2026-01-24T02:51:09.163433
