trial_number,lower_body_scale,upper_body_ratio,upper_body_scale,survival_rate,success_rate,optimization_value,mean_lin_vel_err,max_lin_vel_err,mean_ang_vel_err,max_ang_vel_err,checkpoint_used,stiff_mult,damp_mult,state,duration_seconds,experiment_name,timestamp
0,1.49816047538945,1.9014286128198323,2.8486451945012625,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,205.517078,optuna_g1_stiff0.25x_damp0.25x_lb1.50_ub2.85_20260128_181629,2026-01-28T18:19:55.099027
1,2.9279757672456204,1.1973169683940732,3.505715069169837,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,110.377842,optuna_g1_stiff0.25x_damp0.25x_lb2.93_ub3.51_20260128_181955,2026-01-28T18:21:45.483895
2,0.6240745617697461,0.3119890406724053,0.19470442383459483,62.0,2.0,0.2982526682199289,0.4915,0.8437,0.7052,1.0387,best,0.25,0.25,COMPLETE,626.167286,optuna_g1_stiff0.25x_damp0.25x_lb0.62_ub0.19_20260128_182145,2026-01-28T18:32:11.659710
3,0.23233444867279784,1.7323522915498704,0.4024851145642971,98.0,0.0,0.4710902309693293,0.5394,0.952,0.6304,1.0067,best,0.25,0.25,COMPLETE,616.664412,optuna_g1_stiff0.25x_damp0.25x_lb0.23_ub0.40_20260128_183211,2026-01-28T18:42:28.337610
4,2.404460046972835,1.416145155592091,3.405064447335312,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,111.479012,optuna_g1_stiff0.25x_damp0.25x_lb2.40_ub3.41_20260128_184228,2026-01-28T18:44:19.828724
5,0.08233797718320979,1.9398197043239886,0.15972083055416933,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,113.888179,optuna_g1_stiff0.25x_damp0.25x_lb0.08_ub0.16_20260128_184419,2026-01-28T18:46:13.737083
6,3.329770563201687,0.4246782213565523,1.4140810403058979,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,111.097426,optuna_g1_stiff0.25x_damp0.25x_lb3.33_ub1.41_20260128_184613,2026-01-28T18:48:04.841670
7,0.7272998688284025,0.36680901970686763,0.26678015191787974,89.0,0.0,0.3979620743992866,0.5577,0.9575,0.7112,1.0067,best,0.25,0.25,COMPLETE,624.58412,optuna_g1_stiff0.25x_damp0.25x_lb0.73_ub0.27_20260128_184804,2026-01-28T18:58:29.433728
8,1.216968971838151,1.0495128632644757,1.277224590137883,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,115.572589,optuna_g1_stiff0.25x_damp0.25x_lb1.22_ub1.28_20260128_185829,2026-01-28T19:00:25.013911
9,1.727780074568463,0.5824582803960838,1.0063598111357646,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,112.539063,optuna_g1_stiff0.25x_damp0.25x_lb1.73_ub1.01_20260128_190025,2026-01-28T19:02:17.560567
